,video_id,video_title,upload_date,view_count,like_count,dislike_count,comment_count
0,rUICJO4qwms,How To Grow Your YouTube Channel - 5 Tips For Beginners,2021-10-26,93860,2879,34,447
1,wbBY2tTqXDA,Relations and Functions,2021-08-25,67543,1863,21,128
2,dHjWVlfNraM,Kinematics In One Dimension - Physics,2021-05-31,212740,4013,57,161
3,OqsOIp5UuME,Resonance Structures,2021-05-24,101855,1500,34,67
4,zRKZ0-kOUZM,Geometric Series and Geometric Sequences - Basic Introduction,2021-05-16,175094,3125,77,109
5,XZJdyPkCxuE,Arithmetic Sequences and Arithmetic Series - Basic Introduction,2021-05-13,287783,5852,87,192
6,J6TnZxUUzqU,Complex Numbers In Polar - De Moivre&#39;s Theorem,2021-05-10,111724,1938,38,110
7,KYgmOTLbuqE,Finding The Focus and Directrix of a Parabola - Conic Sections,2021-05-02,203797,3381,67,144
8,OPSCKXXvWiM,Writing Equations of Ellipses In Standard Form and Graphing Ellipses - Conic Sections,2021-04-29,149027,2595,52,97
9,QKkdYW77xNI,Partial Fraction Decomposion,2021-04-23,272121,4359,97,133
10,xaCPDMEkbig,Antiderivatives,2021-04-21,138979,2956,25,127
11,sdYdnpYn-1o,How To Integrate Using U-Substitution,2021-04-19,342628,5881,72,256
12,jO4lwddfeDA,How To Graph Polar Equations,2021-04-17,84510,1612,28,68
13,Tmdrjs9xufc,Transformations of Functions,2021-04-16,104124,2279,35,76
14,CwkhvFlNFp0,Physics 1 Final Exam Review,2021-04-07,121891,3196,22,253
15,_DwG8fukuj4,Conservation of Energy Physics Problems,2021-04-06,81409,1372,25,78
16,SsA7rZ8kczM,ACT Math Test Prep,2021-04-05,77842,2042,28,257
17,3RwUIP9pMSo,Calculus 2 Final Exam Review -,2021-04-02,69359,1439,12,122
18,2KuNzB0cZL4,"Gibbs Free Energy - Entropy, Enthalpy &amp; Equilibrium Constant K",2021-03-30,109862,1546,26,55
19,B_ketdzJtY8,Organic Chemistry - Basic Introduction,2021-03-29,496619,8188,109,296
20,kO-9OajoPZs,"Ksp - Molar Solubility, Ice Tables, &amp; Common Ion Effect",2021-03-28,100663,1411,24,120
21,3pXALn2ovIE,Trigonometric Integrals,2021-03-26,232677,3744,63,169
22,hz-fSXifP9w,SN2 SN1 E1 E2 Reaction Mechanisms Made Easy!,2021-03-26,145796,2489,28,70
23,sWSLLO3DS1I,Integration By Parts,2021-03-25,341545,4987,97,206
24,RIBeeW1DSZg,Static Friction and Kinetic Friction Physics Problems With Free Body Diagrams,2021-02-22,186312,3087,47,130
25,52R61aSWHg0,"Free Body Diagrams - Tension, Friction, Inclined Planes, &amp; Net Force",2021-02-21,125441,1934,37,64
26,N6IhkTjWrd4,Pulley Physics Problem - Finding Acceleration and Tension Force,2021-02-19,180528,2559,68,116
27,B1bWIrOe0SE,Writing Rate Laws of Reaction Mechanisms Using The Rate Determining Step - Chemical Kinetics,2021-02-16,122618,2026,24,133
28,bNcTt3l3Q8k,Le Chatelier&#39;s Principle,2021-02-13,128099,2880,38,137
29,kJTCuRSeh6g,pH of Weak Acids and Bases - Percent Ionization - Ka &amp; Kb,2021-02-12,149610,2828,36,130
30,Ft2_QtXAnh8,Linear Equations - Algebra,2021-02-10,368962,7516,149,364
31,7DPWeBszNSM,How To Solve Linear Equations In Algebra,2021-02-09,105943,2307,42,139
32,KoZ61FujkRk,Electric Potential Energy,2021-01-30,75737,1340,13,63
33,jt7p-mCC0ng,Evaluating Inverse Trigonometric Functions,2021-01-30,229361,3980,68,143
34,LzKMQByFSLc,Electric Potential,2021-01-29,160974,2958,35,128
35,V9RLc9EX1so,Electric Field Due To Point Charges - Physics Problems,2021-01-27,273712,4434,55,168
36,0g3339ciUls,Raoult&#39;s Law - How To Calculate The Vapor Pressure of a Solution,2021-01-23,82706,1123,14,54
37,JQBRzsPhw2w,"Logic Gates, Truth Tables, Boolean Algebra   AND, OR, NOT, NAND &amp; NOR",2021-01-22,469295,8198,128,282
38,zg9N2gAf6a4,Convergence and Divergence - Introduction to Series,2021-01-20,186447,3259,57,103
39,a5x4lwnvHM0,"How To Graph Polynomial Functions Using End Behavior, Multiplicity &amp; Zeros",2021-01-17,286714,5146,86,183
40,_39hCnqbNXM,Relative Velocity - Basic Introduction,2021-01-15,92360,1816,18,88
41,FFDMzbrEXaE,"Number Systems Introduction - Decimal, Binary, Octal &amp; Hexadecimal",2021-01-15,303113,6342,124,243
42,HCWwRh5CXYU,"Unit Cell Chemistry   Simple Cubic, Body Centered Cubic, Face Centered Cubic Crystal Lattice Structu",2021-01-14,147385,2459,51,92
43,tfItlGfPHyo,How To Solve Projectile Motion Problems In Physics,2021-01-14,230277,3510,63,127
44,pdJeQUd2g_4,Hybridization of Atomic Orbitals - Sigma &amp; Pi Bonds - Sp Sp2 Sp3,2021-01-12,477533,7972,219,190
45,Rf05H8ogHLg,Verifying Trigonometric Identities,2021-01-10,268610,4821,72,270
46,GiCojsAWRj0,Calculus 1 Review -  Basic Introduction,2021-01-09,208749,3438,36,118
47,Vqx9a2aU99c,Valence Bond Theory &amp; Hybrid Atomic Orbitals,2021-01-07,140688,2667,30,69
48,qMXPnfx2MQM,Volumes Using Cross Sections - Calculus,2021-01-07,68027,967,10,59
49,D5sT1br9soI,Shell Method - Volume of Revolution,2021-01-06,157182,2146,27,98
